#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A29FCF
#Date Time: 2022-04-06 19:20:10.910
#Sample rate: 4e+06Hz
#Samples: 4096

Time (s),Bus,nRESET,MODE,nCSW,nCSR,nINT
-0.000163,b11000000,1,0,1,1,1
-0.00016275,b11000000,1,0,1,1,1
-0.0001625,b11000000,1,0,1,1,1
-0.00016225,b11000000,1,0,1,1,1
-0.000162,b11000000,1,0,1,1,1
-0.00016175,b11000000,1,0,1,1,1
-0.0001615,b11000000,1,0,1,1,1
-0.00016125,b11000000,1,0,1,1,1
-0.000161,b11000000,1,0,1,1,1
-0.00016075,b11000000,1,0,1,1,1
-0.0001605,b11000000,1,0,1,1,1
-0.00016025,b11000000,1,0,1,1,1
-0.00016,b11000000,1,0,1,1,1
-0.00015975,b11000000,1,0,1,1,1
-0.0001595,b11000000,1,0,1,1,1
-0.00015925,b11000000,1,0,1,1,1
-0.000159,b11000000,1,0,1,1,1
-0.00015875,b11000000,1,0,1,1,1
-0.0001585,b11000000,1,0,1,1,1
-0.00015825,b11000000,1,0,1,1,1
-0.000158,b11000000,1,0,1,1,1
-0.00015775,b11000000,1,0,1,1,1
-0.0001575,b11000000,1,0,1,1,1
-0.00015725,b11000000,1,0,1,1,1
-0.000157,b11000000,1,0,1,1,1
-0.00015675,b11000000,1,0,1,1,1
-0.0001565,b11000000,1,0,1,1,1
-0.00015625,b11000000,1,0,1,1,1
-0.000156,b11000000,1,0,1,1,1
-0.00015575,b11000000,1,0,1,1,1
-0.0001555,b11000000,1,0,1,1,1
-0.00015525,b11000000,1,0,1,1,1
-0.000155,b11000000,1,0,1,1,1
-0.00015475,b11000000,1,0,1,1,1
-0.0001545,b11000000,1,0,1,1,1
-0.00015425,b11000000,1,0,1,1,1
-0.000154,b11000000,1,0,1,1,1
-0.00015375,b11000000,1,0,1,1,1
-0.0001535,b11000000,1,0,1,1,1
-0.00015325,b11000000,1,0,1,1,1
-0.000153,b11000000,1,0,1,1,1
-0.00015275,b11000000,1,0,1,1,1
-0.0001525,b11000000,1,0,1,1,1
-0.00015225,b11000000,1,0,1,1,1
-0.000152,b11000000,1,0,1,1,1
